id_exercise;DateTime_Start;n_poses;n_sets;n_reps;total_poses;seconds_rest_time;Class;Prob;count_pose_g;count_pose;count_rep;count_rep_dup;count_set;right_elbow_angles_pu;right_hit_angles_pu;right_knee_angles_pu;right_shoulder_angles_cu;right_hit_angles_cu;right_knee_angles_cu;right_shoulder_angles_fp;right_hit_angles_fp;right_ankle_angles_fp;right_hit_angles_fl;right_knee_angles_fl;left_knee_angles_fl;right_shoulder_angles_bd;right_hit_angles_bd;right_knee_angles_bd;left_knee_angles_bd;right_elbow_angles_bd;left_elbow_angles_bd
bird_dog;35:53.1;5;2;2;20;5;bird_dog;37;1;1;0;1;1;;;;;;;;;;;;;69;111;88;68;162;126
bird_dog;35:58.2;5;2;2;20;5;bird_dog;34;2;2;0;1;1;;;;;;;;;;;;;56;177;165;165;153;150
bird_dog;36:00.3;5;2;2;20;5;bird_dog;34;3;3;0;1;1;;;;;;;;;;;;;56;118;91;83;148;157
bird_dog;36:02.2;5;2;2;20;5;bird_dog;41;4;4;0;1;1;;;;;;;;;;;;;136;172;144;149;145;152
bird_dog;36:03.8;5;2;2;20;5;bird_dog;37;5;5;1;1;1;;;;;;;;;;;;;72;123;86;81;160;70
bird_dog;36:05.3;5;2;2;20;5;bird_dog;33;6;1;1;2;1;;;;;;;;;;;;;75;121;93;71;155;97
bird_dog;36:13.5;5;2;2;20;5;bird_dog;37;7;2;1;2;1;;;;;;;;;;;;;148;176;148;148;153;129
bird_dog;36:15.5;5;2;2;20;5;bird_dog;29;8;3;1;2;1;;;;;;;;;;;;;68;123;93;74;147;135
bird_dog;36:17.4;5;2;2;20;5;bird_dog;32;9;4;1;2;1;;;;;;;;;;;;;49;177;163;121;168;147
bird_dog;36:20.2;5;2;2;20;5;bird_dog;35;10;5;2;2;1;;;;;;;;;;;;;67;114;93;73;171;144
bird_dog;36:26.9;5;2;2;20;5;bird_dog;30;11;1;0;1;2;;;;;;;;;;;;;65;117;89;79;161;79
bird_dog;36:34.5;5;2;2;20;5;bird_dog;34;12;2;0;1;2;;;;;;;;;;;;;139;140;129;148;151;147
bird_dog;36:37.9;5;2;2;20;5;bird_dog;33;13;3;0;1;2;;;;;;;;;;;;;71;111;89;67;166;172
bird_dog;36:39.3;5;2;2;20;5;bird_dog;40;14;4;0;1;2;;;;;;;;;;;;;42;176;157;111;165;153
bird_dog;36:41.4;5;2;2;20;5;bird_dog;29;15;5;1;1;2;;;;;;;;;;;;;71;117;93;89;147;169
bird_dog;36:45.5;5;2;2;20;5;bird_dog;35;16;1;1;2;2;;;;;;;;;;;;;80;111;90;75;170;179
bird_dog;36:46.8;5;2;2;20;5;bird_dog;45;17;2;1;2;2;;;;;;;;;;;;;167;178;151;160;171;139
bird_dog;36:53.2;5;2;2;20;5;bird_dog;29;18;3;1;2;2;;;;;;;;;;;;;65;121;93;74;143;94
bird_dog;37:00.8;5;2;2;20;5;bird_dog;34;19;4;1;2;2;;;;;;;;;;;;;40;177;158;102;164;143
bird_dog;37:03.3;5;2;2;20;5;bird_dog;32;20;5;2;2;2;;;;;;;;;;;;;70;117;92;79;152;164
